productId,sku,brand,name,categoryIds,shortDescription,description,imageType,imageIndex,targetPath,fileName,searchQuery,url,status,notes
1,NW-AU-HP-001,NovaWare,Premium Headphones,audio|accessories,Noise-cancelling wireless headphones with deep bass and 40h battery.,"Premium over-ear wireless headphones featuring active noise cancellation, gaming low-latency mode and comfortable memory foam earcups.",main,0,techware-api/imgs/p001/main.jpg,main.jpg,NovaWare Premium Headphones official product photo Noise-cancelling wireless headphones with deep bass and 40h battery. audio accessories,https://m.media-amazon.com/images/I/61RahTQtAqL.jpg,approved,Use official brand product page or press kit image URL.
1,NW-AU-HP-001,NovaWare,Premium Headphones,audio|accessories,Noise-cancelling wireless headphones with deep bass and 40h battery.,"Premium over-ear wireless headphones featuring active noise cancellation, gaming low-latency mode and comfortable memory foam earcups.",gallery,1,techware-api/imgs/p001/g1.jpg,g1.jpg,NovaWare Premium Headphones official gallery photo Noise-cancelling wireless headphones with deep bass and 40h battery. audio accessories,"https://m.media-amazon.com/images/I/61RahTQtAqL._AC_UF1000,1000_QL80_.jpg",approved,Use official brand product page or press kit image URL.
1,NW-AU-HP-001,NovaWare,Premium Headphones,audio|accessories,Noise-cancelling wireless headphones with deep bass and 40h battery.,"Premium over-ear wireless headphones featuring active noise cancellation, gaming low-latency mode and comfortable memory foam earcups.",gallery,2,techware-api/imgs/p001/g2.jpg,g2.jpg,NovaWare Premium Headphones official gallery photo Noise-cancelling wireless headphones with deep bass and 40h battery. audio accessories,"https://m.media-amazon.com/images/I/511c23mDjoL._AC_UF1000,1000_QL80_.jpg",approved,Use official brand product page or press kit image URL.
2,NW-LT-014,NovaWare,NovaBook Air 14,computers|laptops,"Ultra-thin 14"" laptop with Ryzen 7 and 16GB RAM.","Powerful ultrabook with Ryzen 7 processor, 16GB RAM and 512GB NVMe SSD designed for productivity and portability.",main,0,techware-api/imgs/p002/main.jpg,main.jpg,"NovaWare NovaBook Air 14 official product photo Ultra-thin 14"" laptop with Ryzen 7 and 16GB RAM. computers laptops",https://apiv2.exceldisc.com/media/86705/lenovo-thinkbook-14-gen-7-2024-laptop.jpg,approved,Use official brand product page or press kit image URL.
3,NW-MN-27G,NovaWare,NovaView 27 Gaming Monitor,monitors|gaming,"27"" QHD IPS monitor with 165Hz refresh rate.",High-performance gaming monitor with ultra-smooth 165Hz refresh rate and vibrant IPS panel.,main,0,techware-api/imgs/p003/main.jpg,main.jpg,"NovaWare NovaView 27 Gaming Monitor official product photo 27"" QHD IPS monitor with 165Hz refresh rate. monitors gaming",https://arozzi.com/cdn/shop/files/AZ-NO-27T2K180-BK-02.jpg?v=1769157435&width=1500,approved,Use official brand product page or press kit image URL.
4,KC-K8P-RGB,Keychron,Keychron K8 Pro Wireless Mechanical Keyboard,keyboards|accessories,Hot-swappable TKL mechanical keyboard with Bluetooth and QMK/VIA support.,"The Keychron K8 Pro is a tenkeyless mechanical keyboard with wired and Bluetooth modes, hot-swappable switches, and full QMK/VIA customization.",main,0,techware-api/imgs/p004/main.jpg,main.jpg,Keychron Keychron K8 Pro Wireless Mechanical Keyboard official product photo Hot-swappable TKL mechanical keyboard with Bluetooth and QMK/VIA support. keyboards accessories,"https://m.media-amazon.com/images/I/61Q7FIUkqDL._AC_UF894,1000_QL80_.jpg",approved,Use official brand product page or press kit image URL.
4,KC-K8P-RGB,Keychron,Keychron K8 Pro Wireless Mechanical Keyboard,keyboards|accessories,Hot-swappable TKL mechanical keyboard with Bluetooth and QMK/VIA support.,"The Keychron K8 Pro is a tenkeyless mechanical keyboard with wired and Bluetooth modes, hot-swappable switches, and full QMK/VIA customization.",gallery,1,techware-api/imgs/p004/g1.jpg,g1.jpg,Keychron Keychron K8 Pro Wireless Mechanical Keyboard official gallery photo Hot-swappable TKL mechanical keyboard with Bluetooth and QMK/VIA support. keyboards accessories,https://i.ytimg.com/vi/giCppUqr4J0/maxresdefault.jpg,approved,Use official brand product page or press kit image URL.
4,KC-K8P-RGB,Keychron,Keychron K8 Pro Wireless Mechanical Keyboard,keyboards|accessories,Hot-swappable TKL mechanical keyboard with Bluetooth and QMK/VIA support.,"The Keychron K8 Pro is a tenkeyless mechanical keyboard with wired and Bluetooth modes, hot-swappable switches, and full QMK/VIA customization.",gallery,2,techware-api/imgs/p004/g2.jpg,g2.jpg,Keychron Keychron K8 Pro Wireless Mechanical Keyboard official gallery photo Hot-swappable TKL mechanical keyboard with Bluetooth and QMK/VIA support. keyboards accessories,"https://res.cloudinary.com/jerrick/image/upload/d_642250b563292b35f27461a7.png,f_jpg,fl_progressive,q_auto,w_1024/6411a00df6546e001d6a1a0d.jpg",approved,Use official brand product page or press kit image URL.
5,LOG-GPX2-BLK,Logitech,Logitech G PRO X SUPERLIGHT 2,mice|gaming,Ultra-light esports mouse with HERO 2 sensor and LIGHTSPEED wireless.,"The Logitech G PRO X SUPERLIGHT 2 is an esports-focused wireless mouse with a lightweight shell, HERO 2 sensor, and pro-level low-latency performance.",main,0,techware-api/imgs/p005/main.jpg,main.jpg,Logitech Logitech G PRO X SUPERLIGHT 2 official product photo Ultra-light esports mouse with HERO 2 sensor and LIGHTSPEED wireless. mice gaming,https://reformdlab.co/cdn/shop/files/pro-x-superlight-2-dex-black-gallery-1.webp?v=1730877273,approved,Use official brand product page or press kit image URL.
6,SMS-990PRO-1TB,Samsung,Samsung 990 PRO 1TB NVMe SSD,storage|components,PCIe 4.0 M.2 SSD with high sequential read and write speeds.,"Samsung 990 PRO 1TB is a premium PCIe 4.0 NVMe SSD designed for gaming, content creation, and fast application load times.",main,0,techware-api/imgs/p006/main.jpg,main.jpg,Samsung Samsung 990 PRO 1TB NVMe SSD official product photo PCIe 4.0 M.2 SSD with high sequential read and write speeds. storage components,https://www.pbtech.co.nz/imgprod/H/D/HDDSAM990100__6.jpg,approved,Use official brand product page or press kit image URL.
6,SMS-990PRO-1TB,Samsung,Samsung 990 PRO 1TB NVMe SSD,storage|components,PCIe 4.0 M.2 SSD with high sequential read and write speeds.,"Samsung 990 PRO 1TB is a premium PCIe 4.0 NVMe SSD designed for gaming, content creation, and fast application load times.",gallery,1,techware-api/imgs/p006/g1.jpg,g1.jpg,Samsung Samsung 990 PRO 1TB NVMe SSD official gallery photo PCIe 4.0 M.2 SSD with high sequential read and write speeds. storage components,"https://m.media-amazon.com/images/I/71cjE5obpjL._AC_UF350,350_QL80_.jpg",approved,Use official brand product page or press kit image URL.
7,ASUS-RTAX88U-PRO,ASUS,ASUS RT-AX88U Pro,networking|smart-home,Dual-band Wi-Fi 6 router with 2.5G port and AiMesh support.,"ASUS RT-AX88U Pro is a high-performance Wi-Fi 6 router with strong coverage, 2.5G networking, and advanced ASUSWRT features.",main,0,techware-api/imgs/p007/main.jpg,main.jpg,ASUS ASUS RT-AX88U Pro official product photo Dual-band Wi-Fi 6 router with 2.5G port and AiMesh support. networking smart-home,https://dlcdnwebimgs.asus.com/gain/ae605e6b-39c1-4646-9f00-c87a0e653450/,approved,Use official brand product page or press kit image URL.
8,PH-HUE-A19-4PK,Philips Hue,Philips Hue White and Color Ambiance A19 4-Pack,smart-home|accessories,Smart color bulbs with Hue app control and voice assistant support.,"Philips Hue A19 White and Color Ambiance bulbs offer customizable scenes, automations, and broad smart-home ecosystem compatibility.",main,0,techware-api/imgs/p008/main.jpg,main.jpg,Philips Hue Philips Hue White and Color Ambiance A19 4-Pack official product photo Smart color bulbs with Hue app control and voice assistant support. smart-home accessories,https://i5.walmartimages.com/seo/Philips-Hue-White-and-Color-Ambiance-4-Pack-A19-75W-Smart-LED-Starter-Kit_37880274-5ff1-43c6-aa96-2316700ac98e.35cbd539d74f3cc262c30b4f7793516e.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,approved,Use official brand product page or press kit image URL.
8,PH-HUE-A19-4PK,Philips Hue,Philips Hue White and Color Ambiance A19 4-Pack,smart-home|accessories,Smart color bulbs with Hue app control and voice assistant support.,"Philips Hue A19 White and Color Ambiance bulbs offer customizable scenes, automations, and broad smart-home ecosystem compatibility.",gallery,1,techware-api/imgs/p008/g1.jpg,g1.jpg,Philips Hue Philips Hue White and Color Ambiance A19 4-Pack official gallery photo Smart color bulbs with Hue app control and voice assistant support. smart-home accessories,https://i5.walmartimages.com/asr/77679de2-eef3-4396-b7c6-3d2586a661dd.42a9abced455b2c557fd1551aee7327b.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF,approved,Use official brand product page or press kit image URL.
9,SMS-GTABS9-11,Samsung,"Samsung Galaxy Tab S9 11""",tablets|computers,11-inch AMOLED tablet with Snapdragon 8 Gen 2 and S Pen included.,"Samsung Galaxy Tab S9 features a Dynamic AMOLED 2X display, flagship chipset, and S Pen support for productivity and media.",main,0,techware-api/imgs/p009/main.jpg,main.jpg,"Samsung Samsung Galaxy Tab S9 11"" official product photo 11-inch AMOLED tablet with Snapdragon 8 Gen 2 and S Pen included. tablets computers",https://www.jbhifi.com.au/cdn/shop/files/655507-Product-0-I-638524494007632462.jpg?v=1717558858,approved,Use official brand product page or press kit image URL.
9,SMS-GTABS9-11,Samsung,"Samsung Galaxy Tab S9 11""",tablets|computers,11-inch AMOLED tablet with Snapdragon 8 Gen 2 and S Pen included.,"Samsung Galaxy Tab S9 features a Dynamic AMOLED 2X display, flagship chipset, and S Pen support for productivity and media.",gallery,1,techware-api/imgs/p009/g1.jpg,g1.jpg,"Samsung Samsung Galaxy Tab S9 11"" official gallery photo 11-inch AMOLED tablet with Snapdragon 8 Gen 2 and S Pen included. tablets computers",https://www.jbhifi.com.au/cdn/shop/files/655507-Product-3-I-638488519226503127.jpg?v=1717558858,approved,Use official brand product page or press kit image URL.
9,SMS-GTABS9-11,Samsung,"Samsung Galaxy Tab S9 11""",tablets|computers,11-inch AMOLED tablet with Snapdragon 8 Gen 2 and S Pen included.,"Samsung Galaxy Tab S9 features a Dynamic AMOLED 2X display, flagship chipset, and S Pen support for productivity and media.",gallery,2,techware-api/imgs/p009/g2.jpg,g2.jpg,"Samsung Samsung Galaxy Tab S9 11"" official gallery photo 11-inch AMOLED tablet with Snapdragon 8 Gen 2 and S Pen included. tablets computers",https://www.jbhifi.com.au/cdn/shop/files/655507-Product-1-I-638488519208735705.jpg?v=1717558858,approved,Use official brand product page or press kit image URL.
